281
10,516
165,582
390,499
182,428
358,404
496,434
471,641
585,527
802,636
878,483
803,393
717,471
266,358
131,339
42,339
19,366
129,271
278,292
64,238
152,232
164,187
211,184
175,150
109,132
61,136
35,174
7,147
33,108
63,98
113,110
214,118
150,88
167,73
52,77
15,52
60,46
123,57
31,88
4,101
2,56
8,46
12,39
32,29
43,54
76,19
97,42
107,33
122,94
183,56
214,63
228,86
265,83
254,64
310,64
309,93
176,128
295,52
344,94
291,103
287,120
249,122
309,141
334,80
348,66
323,44
192,42
156,43
340,53
357,64
370,63
429,74
376,39
469,62
399,108
400,52
440,129
424,135
388,142
359,143
296,168
452,105
493,72
482,66
502,68
582,60
586,75
549,54
532,63
518,88
533,110
521,110
601,90
613,131
544,131
519,143
477,162
466,98
603,70
574,166
504,175
621,83
646,87
671,76
663,68
660,83
597,76
664,116
679,99
646,103
625,114
609,59
632,189
673,185
573,214
547,201
457,193
498,217
619,59
676,68
526,45
632,43
486,45
419,42
439,57
385,66
678,60
653,66
718,57
726,77
758,76
774,75
796,75
695,78
720,103
692,105
702,97
710,107
804,121
729,174
792,97
751,99
698,163
559,104
959,61
920,53
830,71
815,70
854,74
870,78
896,81
922,84
972,107
1008,107
984,123
1016,136
937,103
924,116
910,110
891,114
872,105
851,90
911,58
879,69
889,65
831,110
820,84
819,103
836,130
822,129
852,121
941,139
964,172
984,165
898,168
860,128
882,168
845,183
259,185
145,181
294,281
380,227
428,208
498,298
380,348
425,347
140,61
633,294
715,303
692,397
621,395
565,338
577,444
293,192
754,244
660,207
787,226
784,185
857,264
874,239
831,316
861,357
557,243
972,414
926,318
938,286
972,250
1020,211
907,262
782,122
998,52
698,61
515,45
595,67
371,309
489,345
763,44
1017,321
119,23
97,19
69,3
155,24
134,33
178,25
197,23
207,26
215,23
233,26
259,22
336,36
338,21
348,26
362,34
307,33
304,42
293,43
279,42
282,61
272,64
232,61
244,69
195,93
169,47
416,30
466,22
494,29
490,30
538,25
567,18
581,27
568,41
630,27
603,37
610,38
657,33
698,35
717,38
725,38
745,40
804,44
811,48
819,47
835,47
845,44
868,47
879,45
889,48
894,49
941,50
959,49
978,49
1019,59
377,156
381,179
102,172
20,190
216,46
409,156
992,98
692,647
32,656
13,270
